y name: 
x index        ,            0,            1
x name         , 
H0             ,       0.0000,       0.0000
beta, ols      ,       2.0448,       0.0379
beta, sols     ,       2.0448,       0.0379
beta, fgls     ,       1.9968,      -0.0494

p-value, ols   ,       0.0000,       0.5291
p-value, sols  ,       0.0000,       0.6530
p-value, fgls  ,       0.0000,       0.4204

0.95 lb, ols   ,       1.9283,      -0.0804
0.95 ub, ols   ,       2.1613,       0.1562
0.95 lb, sols  ,       1.9170,      -0.1278
0.95 ub, sols  ,       2.1726,       0.2036
0.95 lb, fgls  ,       1.9053,      -0.1697
0.95 ub, fgls  ,       2.0884,       0.0710
